key,lemma,pos,gloss,notes
a_alittle,wa,adjective,alittle,
a_alive,wi,adjective,alive,
a_alot,bie,adjective,alot,
a_bad,ngap,adjective,bad,
a_beautiful,ngoro,adjective,beautiful,
a_big,mwu,adjective,big,
a_black,po,adjective,black,
a_blue,nu,adjective,blue,
a_boring,nikha,adjective,boring,
a_bright,ya,adjective,bright,
a_cold,to,adjective,cold,
a_cool,khui,adjective,cool,
a_dark,go,adjective,dark,
a_dead,khwu,adjective,dead,
a_delicious,ngwuhol,adjective,delicious,
a_dim,gkok,adjective,dim,
a_fast,tsi,adjective,fast,
a_few,muik,adjective,few,
a_good,tsin,adjective,good,
a_green,gung,adjective,green,
a_grey,ro,adjective,grey,
a_heavy,mo,adjective,heavy,
a_high,ging,,high,
a_hot,gko,adjective,hot,
a_interesting,kumiu,adjective,interesting,
a_light,pyil,adjective,light,
a_like,pyil,adjective,like,
a_long,puo,adjective,long,
a_low,wit,,,
a_many,tsua,adjective,many,
a_narrow,nwu,adjective,narrow,
a_new,mio,adjective,new,
a_notlong,gi,adjective,notlong,
a_nottall,ru,adjective,nottall,
a_old,khuepue,adjective,old,
a_old_age,dinyo,adjective,old age,
a_orange,he,adjective,orange,
a_pink,tso,adjective,pink,
a_pretty,nopkui,adjective,pretty,
a_purple,dia,adjective,purple,
a_red,gue,adjective,red,
a_slow,gem,adjective,slow,
a_small,nguik,adjective,small,
a_strong,ro,adjective,strong,
a_tall,kui,adjective,tall,
a_tasteless,rungge,adjective,tasteless,
a_thick,bi,adjective,thick,
a_thin,hua,adjective,thin,
a_ugly,bangges,adjective,ugly,
a_warm,tsuo,adjective,warm,
a_weak,sie,adjective,weak,
a_white,ku,adjective,white,
a_wide,yu,adjective,wide,
a_yellow,buo,adjective,yellow,
a_young,himia,adjective,young,
adv_final,minya,adverb,final,
adv_first,wolu,adverb,first,
adv_following,songgi,adverb,following,
adv_last,duekkal,adverb,last,
adv_later,yentui,adverb,later,
adv_more,ra,,,
adv_next,hokhi,adverb,next,
adv_previous,mopui,adverb,previous,
adv_right,tsok,adverb,right (immediately),
d_any,kut,quantifier,any,
d_dst,tsu,demonstrative,that (distal),
d_each,nos,quantifier,each,
d_every,dong,quantifier,every,
d_med,nge,demonstrative,that (medial),
d_no,tsek,quantifier,none,
d_prx,tse,demonstrative,this (proximal),
d_some,guk,quantifier,some,
e_dir,t,evidential,direct evidential,
e_epi,li,evidential,epistemic evidential,
e_ind,n,evidential,indirect evidential,
e_mir,wam,evidential,mirative,
e_rel,ng,evidential,relativizer,
f_com,se,force marker,commissive,
f_imp,la,force marker,imperative,
f_int,ke,force marker,interrogative,
g_ability,ye,noun,can (ability),
g_desire,ti,noun,want (desire),
g_direction,puk,noun,direction,
g_language,nik,,,
g_necessity,ri,noun,must (necessity),
g_obligation,ru,noun,should (obligation),
g_permission,gko,noun,may (permission),
g_potential,di,noun,might (potential),
g_question,mo,noun,question (particle),
g_recommendation,pi,noun,ought (recommendation),
g_time,ga,,,
n_0,dang,noun,0,
n_1,me,noun,1,
n_10,wit,noun,10,
n_10-gon,wittsin,noun,10-gon,
n_100,yu,noun,100,
n_1000,tsip,noun,1000,
n_11-gon,mewittsin,noun,11-gon,
n_12-gon,rawittsin,noun,12-gon,
n_1pl,lu,noun,1PL,
n_1sg,po,noun,1SG,
n_2,ra,noun,2,
n_2pl,tso,noun,2PL,
n_2sg,ta,noun,2SG,
n_3,hap,noun,3,
n_3pl,pa,noun,3PL,
n_3sg,so,noun,3SG,
n_4,mol,noun,4,
n_5,tsim,noun,5,
n_6,sum,noun,6,
n_7,nul,noun,7,
n_8,ngat,noun,8,
n_9,bes,noun,nine,
n_9-gon,bestsin,noun,nonagon,
n_ability,kieskom,noun,ability,
n_above,dul,noun,above,
n_accomplishment,gugias,noun,accomplishment,
n_achievement,suotua,noun,achievement,
n_acting,rotibiek,noun,acting,
n_action,bit,noun,action,
n_activity,dakias,noun,activity,
n_actor,rotibiektui,noun,actor,
n_afternoon,kiesui,noun,afternoon,
n_air,tsa,noun,air,
n_airplane,dekwu,noun,airplane,/kɰ/V becomes <gw>
n_angry,tuidying,noun,angry,
n_animal,tsimuo,noun,animal,
n_animal0,tu,noun,animal0,
n_animal1,khe,noun,animal1,
n_animal2,ngikyi,noun,animal2,
n_animal3,gko,noun,animal3,
n_animal4,nui,noun,animal4,
n_animal5,ge,noun,animal5,
n_animal6,de,noun,animal6,
n_animal7,khyitwu,noun,animal7,
n_ankle,royunwu,noun,ankle,
n_apartment,sumie,noun,apartment,
n_apologetic,yenus,noun,apologetic,
n_apology,tswuti,noun,apology,
n_appearance,win,noun,appearance,
n_apple,tagup,noun,apple,
n_april,moltua,noun,april,
n_arm,mo,noun,arm,
n_around,ngil,noun,around,
n_art,tulisi,noun,art,
n_artist,tulisitui,noun,artist,
n_august,ngattwa,noun,august,
n_bag,bak,noun,bag,
n_banana,tidi,noun,banana,
n_bank,huptaktsa,noun,bank,
n_bar,dopuingge,noun,bar,
n_beach,gu,noun,beach,
n_bed,tsimde,noun,bed,
n_beef,lepgkusdu,noun,beef,
n_behind,yap,noun,behind,
n_belief,mip,noun,belief,
n_below,tis,noun,below,
n_belt,littiek,noun,belt,
n_beside,hik,noun,beside,
n_bicycle,petuegi,noun,bicycle,
n_bird,hui,noun,bird,
n_bird_meat,huidu,noun,bird meat,
n_boat,hu,noun,boat,
n_body,khe,noun,body,
n_book,syi,noun,book,
n_bored,base,noun,bored,
n_box,wedop,noun,box,
n_bread,tsi,noun,bread,
n_bridge,puisgibui,noun,bridge,
n_building,sunneng,noun,building,
n_bus,degal,noun,bus,
n_cafe,kape,noun,cafe,
n_calm,wiyi,noun,calm,
n_camera,khuahu,noun,camera,
n_camp,yasgu,noun,camp,
n_canada,kanada,noun,canada,
n_car,tumkyil,noun,car,
n_carb0,nena,noun,carb0,
n_carb1,khiu,noun,carb1,
n_carb2,ken,noun,carb2,
n_carb3,gap,noun,carb3,
n_carb4,khungne,noun,carb4,
n_carb5,hi,noun,carb5,
n_carb6,buhe,noun,carb6,
n_carb7,yakpo,noun,carb7,
n_career,khakhemwu,noun,career,
n_ceiling,nekhop,noun,ceiling,
n_cellphone,kottwu,noun,cellphone,
n_centimetre,ro,noun,centimetre,
n_centre,kiosngwon,noun,centre,
n_century,yunggit,noun,century,
n_chair,rahiu,noun,chair,
n_chicken,khu,noun,chicken,
n_chicken_meat,khudu,noun,chicken meat,
n_circle,ro,noun,circle,
n_city,khua,noun,city,
n_clay,pwumki,noun,clay,
n_clock,tuimyima,noun,clock,
n_clothing,si,noun,clothing,
n_cloud,piseng,noun,cloud,
