english,conlang
i like the library,pode tuotuka tsinwusawu
horses have long necks,selngom satiunwude puowu
the thing i'm doing is reading a book,pode sawung konggom syiwowu yawu
i should read a book,ponggom syika wone pi ga
i have to read a book,ponggom syika wone ru ga
i need to read a book,ponggom syika wone ri ga
i want to read a book,ponggom syika wone ti ga
a bird is above the tree,pium dulbi huide gawu
the bag is under the chair,rahiu tisbi bakde gawu
there is a book on the table,konyang dultsinbi syide gawu
there is a sticker on the underside of the desk,ngopa tistsinbi muebyitsengde gawu
a person is in front of the shop,kopi galbi tuide gawu
there is a car behind the bus,degal yapbi tumkyilde gawu
the bank is next to the library,tuotu hikbi huptaktsade gawu
the school is to the right of the park,khuoba nihikpukbi nyihenuode gawu
the pencil is to the right of the mango,no nihikpukbi hangswulde gawu
some pens are inside the box,wedop lusbi niuhianyuhiade gawu
there are some birds outside my house,kali bukbi huihuide gawu
there is a chair between the table and the wall,konyangya kiga tsinbi rahiude gawu
the belt is around my waist,potu wapkuo ngilbi littiekde gawu
surrounding the fish is some rice,wu bikbi mede gawu
the shop is nearby my house,potu kali melbi kopide gawu
i can read three books in one day,metosiu tiobi haptosyisyika woneng ye gawu
the weather is nice today so i might go to the park later,tiakbalngom dyitualde gonpyi tsuawudo khuobabi yuneng di gawu
should i use pen or pencil?,hangswultsi niuhiaka tseneng pi gawula
i went to the shop because i needed to buy food,engtsikka munneng ri ganado kopibi yuna
i said i would buy food so i have to go to the shop,engtsikka munneng tsek sanado kopibi yuneng ru ga
i'm going to go to a cafe because i want to eat something,gukpika hiuneng ti gawudo kapebi yuse
i want to get a coffee so i'm going to go to a cafe,kohika munneng ti gawudo kapebi yuse
i think it rained,gede tsanang ko pyilwu
i think it's raining,gede tsawung ko pyilwu
i think it's going to rain,gede tsaneng ko pyilwu
it seems i should use a pen,niuhiaka tseneng pi ganeng ko pyilwu
you can read this book if you want,ti gama tse syika woya khewu
is it okay if i ask you a question?,tasi yektsam saya kheke
i can read books,ponggom syika wone ye ga
i may read books,ponggom syika wone gko ga
i have a headache,ponggom satde tsuotsan gat
i read this book too,tse syinggom poki wona
i don't eat meat but i eat fish,dunggom hahiuwude wudu ngom hiuwu
the chair i'm sitting on is comfortable,pode guwu gawung rahiude gonpyide tiungwu
the chairs at my school are uncomfortable,potu nyihenuobi gawung rahiude gonpyide piewu
my bed is so comfortable,potu tsimdede gonpyide tsuawu
i might read a book,ponggom syika wone di ga
i'm worried they might be sad,sode giakhyi ngopuoneng nagui gawu
i'm worried it might rain,gede tsaneng nagui gawu
i get coffee when i go to a cafe,kapebi yuneng ga kohika tukhiwu
i had a headache when i got up yesterday,duekkalsiu metsisnang ga satde tsuotsan ganat
the weather got colder recently,ngingwinggom dyitualde ra towukhena
the weather is getting colder these days,kulyinggom dyitualde ra towukhewu gawut
"from what i've heard, the weather started to get colder recently",dyitualde ngingwi ra towukhenang tsitsak sanan
i think there is a car behind the bus,degal yapbi tumkyilde gawung ko pyilwu
i heard that the bank is next to the library,tuotu hikbi huptaktsade gawun
"there are some pens inside the box, as far as i'm aware",wedop lusbi niuhianyuhiade gawun
i know for a fact that there are some birds outside my house,kali bukbi huihuide gawut
i'm always sleepy at the top of the day,ponggom siutsitsak gabi dongmu ngomo ngopuogawu
my friend made me read that book,po nopenggom pode nge syika woneng koka ngena
i can see that that light appears to be getting brighter,nge syipade yawukhewu ganeng win gawut
i'm so embarrased... is my face getting redder,tsesgo ngopuo tsuawu... po ngibede qewuxewu gawuket
"as far as you're aware, is the weather today going to get nicer?",tiakbal dyitualde gonpyi gawukheneken
do you know someone who can play piano?,pianoka saneng ye gawung buka ngolwuke
you know someone who can play piano?,pianoka saneng ye gawung buka ngolwu?
can't you play piano?,tade pianoka saneng ye gawung ko haya?
this book is red,tse syide qewu
i know for a fact that this book is red,tse syide qewut
"as far as i'm aware, this book is red",tse syide qewun
is this cafe inexpensive?,nge kapenggom languide witwuke
do you know for certain that this cafe is inexpensive?,nge kapenggom languide witwuket
"to the best of your knowledge, is this cafe inexpensive?",nge kapenggom languide witwuken
bring me some fruit,posi swuriswurika yaknola
be sure to bring me some fruit,posi swuriswurika yaknolat
"bring me some fruit, if you get the chance",posi swuriswurika yaknolan
these flowers are pretty,tse khiasde nopkuiwu
"wow, these flowers are pretty!",tse khiasde nopkuiwam
"these flowers are pretty, don't you think so?",tse khiasde nopkuili
these flowers are pretty...,tse khiasde nopkuiya
i am a student,pode khulituiya
i am not a student,pode khulitui haya
"you are a student, aren't you?",tade khulituiya hen?
"you can play piano, can't you?",tade pianoka saneng ye gawu hen?
i wrote yesterday's test using a pencil,duekkalsiu diemekngom hangswulyi dienat
i buttered the toast with a knife,tostobi kalyi botoka muenuanat
jones buttered the toast at midnight in the bathroom with a knife,tostonggom jonside kiosngonsosebi kjaritsilbi kalyi botoka muenuanat
they said they know how to ride a motorcycle,songgom motobajikka miesaneng ye gawung tsek sanat
they said they know how to ride a bicycle,songgom petuegika miesaneng ye gawulong sanat
they asked if i know know how to ride a motorcycle,songgom pode motobajikka miesaneng ye gawung mo sanat
they asked if i know know how to ride a bicycle,songgom pode petuegika miesaneng ye gawukeng sanat
they told me to ride a motorcycle,songgom pode motobajikka miesawung tsang sanat
they told me to ride a bicycle,songgom pode petuegika miesawulang sanat
they told me it's a tree,songgom tsekode piumiang tsek sanat
they told me it's a wolf,songgom tsekode lomeyalong sanat
