key,lemma,underlying,pos,gloss,notes
a_alittle,wa,/wa/,adjective,a little,
a_alive,wi,/wi/,adjective,alive,
a_alot,bie,/bje/,adjective,alot,
a_bad,ngap,/ŋap/,adjective,bad,
a_beautiful,ngoro,/ŋoɾo/,adjective,beautiful,
a_big,mwu,/mwu/,adjective,big,
a_black,po,/po/,adjective,black,
a_blue,nu,/nu/,adjective,blue,
a_boring,nikha,/nixa/,adjective,boring,
a_bright,ya,/ja/,adjective,bright,
a_cold,to,/to/,adjective,cold,
a_cool,khui,/xwi/,adjective,cool,
a_dark,go,/ɡo/,adjective,dark,
a_dead,khwu,/xwu/,adjective,dead,
a_delicious,ngwuhol,/ŋwuhol/,adjective,delicious,
a_dim,gkok,/qok/,adjective,dim,
a_fast,tsi,/t͡si/,adjective,fast,
a_few,muik,/mwik/,adjective,few,
a_good,tsin,/t͡sin/,adjective,good,
a_green,gung,/ɡuŋ/,adjective,green,
a_grey,ro,/ɾo/,adjective,grey,
a_heavy,mo,/mo/,adjective,heavy,
a_high,ging,/ɡiŋ/,,high,
a_hot,gko,/qo/,adjective,hot,
a_interesting,kumiu,/kumju/,adjective,interesting,
a_light,pyil,/pjil/,adjective,light,
a_like,pyil,/pjil/,adjective,like,
a_long,puo,/pwo/,adjective,long,
a_low,wit,/wit/,,,
a_many,tsua,/t͡swa/,adjective,many,
a_narrow,nwu,/nwu/,adjective,narrow,
a_new,mio,/mjo/,adjective,new,
a_notlong,gi,/ɡi/,adjective,notlong,
a_nottall,ru,/ɾu/,adjective,nottall,
a_old,khuepue,/xwepwe/,adjective,old,
a_old_age,dinyo,/dinjo/,adjective,old age,
a_orange,he,/he/,adjective,orange,
a_pink,tso,/t͡so/,adjective,pink,
a_pretty,nopkui,/nopkwi/,adjective,pretty,
a_purple,dia,/dja/,adjective,purple,
a_red,gue,/ɡwe/,adjective,red,
a_slow,gem,/ɡem/,adjective,slow,
a_small,nguik,/ŋwik/,adjective,small,
a_strong,ro,/ɾo/,adjective,strong,
a_tall,kui,/kwi/,adjective,tall,
a_tasteless,rungge,/ɾuŋe/,adjective,tasteless,
a_thick,bi,/bi/,adjective,thick,
a_thin,hua,/hwa/,adjective,thin,
a_ugly,bangges,/baŋes/,adjective,ugly,
a_warm,tsuo,/t͡swo/,adjective,warm,
a_weak,sie,/sje/,adjective,weak,
a_white,ku,/ku/,adjective,white,
a_wide,yu,/ju/,adjective,wide,
a_yellow,buo,/bwo/,adjective,yellow,
a_young,himia,/himja/,adjective,young,
adv_final,minya,/minja/,adverb,final,
adv_first,wolu,/wolu/,adverb,first,
adv_following,songgi,/soŋi/,adverb,following,
adv_last,duekkal,/dwekhal/,adverb,last,
adv_later,yentui,/jentwi/,adverb,later,
adv_more,ra,/ɾa/,,,
adv_next,hokhi,/hoxi/,adverb,next,
adv_previous,mopui,/mopwi/,adverb,previous,
adv_right,tsok,/t͡sok/,adverb,right (immediately),
d_any,kut,/kut/,quantifier,any,
d_dst,tsu,/t͡su/,demonstrative,that (distal),
d_each,nos,/nos/,quantifier,each,
d_every,dong,/doŋ/,quantifier,every,
d_med,nge,/ŋe/,demonstrative,that (medial),
d_no,tsek,/t͡sek/,quantifier,none,
d_prx,tse,/t͡se/,demonstrative,this (proximal),
d_some,guk,/ɡuk/,quantifier,some,
e_dir,t,/t/,evidential,direct evidential,
e_epi,li,/li/,evidential,epistemic evidential,
e_ind,n,/n/,evidential,indirect evidential,
e_mir,wam,/wam/,evidential,mirative,
e_rel,ng,/ŋ/,evidential,relativizer,
f_com,se,/se/,force marker,commissive,
f_imp,la,/la/,force marker,imperative,
f_int,ke,/ke/,force marker,interrogative,
g_ability,ye,/je/,noun,can (ability),
g_command,tsang,,,command,
g_desire,ti,/ti/,noun,want (desire),
g_direction,puk,/puk/,noun,direction,
g_language,nik,/nik/,,,
g_necessity,ri,/ɾi/,noun,must (necessity),
g_obligation,ru,/ɾu/,noun,should (obligation),
g_permission,gko,/qo/,noun,may (permission),
g_potential,di,/di/,noun,might (potential),
g_question,mo,/mo/,noun,question (particle),
g_recommendation,pi,/pi/,noun,ought (recommendation),
g_time,ga,/ɡa/,,,
n_0,dang,/daŋ/,noun,0,
n_1,me,/me/,noun,1,
n_10,wit,/wit/,noun,10,
n_10-gon,wittsin,/witt͡sin/,noun,10-gon,
n_100,yu,/ju/,noun,100,
n_1000,tsip,/t͡sip/,noun,1000,
n_11-gon,mewittsin,/mewitt͡sin/,noun,11-gon,
n_12-gon,rawittsin,/ɾawitt͡sin/,noun,12-gon,
n_1pl,lu,/lu/,noun,1PL,
n_1sg,po,/po/,noun,1SG,
n_2,ra,/ɾa/,noun,2,
n_2pl,tso,/t͡so/,noun,2PL,
n_2sg,ta,/ta/,noun,2SG,
n_3,hap,/hap/,noun,3,
n_3pl,pa,/pa/,noun,3PL,
n_3sg,so,/so/,noun,3SG,
n_4,mol,/mol/,noun,4,
n_5,tsim,/t͡sim/,noun,5,
n_6,sum,/sum/,noun,6,
n_7,nul,/nul/,noun,7,
n_8,ngat,/ŋat/,noun,8,
n_9,bes,/bes/,noun,nine,
n_9-gon,bestsin,/best͡sin/,noun,nonagon,
n_ability,kieskom,/kjeskom/,noun,ability,
n_above,dul,/dul/,noun,above,
n_accomplishment,gugias,/ɡuɡjas/,noun,accomplishment,
n_achievement,suotua,/swotwa/,noun,achievement,
n_acting,rotibiek,/ɾotibjek/,noun,acting,
n_action,bit,/bit/,noun,action,
n_activity,dakias,/dakjas/,noun,activity,
n_actor,rotibiektui,/ɾotibjektwi/,noun,actor,
n_afternoon,kiesui,/kjeswi/,noun,afternoon,
n_air,tsa,/t͡sa/,noun,air,
n_airplane,dekwu,/dekwu/,noun,airplane,/kw/V becomes <gw>
n_angry,tuidying,/twidjiŋ/,noun,angry,
n_animal,tsimuo,/t͡simwo/,noun,animal,
n_animal0,tu,/tu/,noun,animal0,
n_animal1,khe,/xe/,noun,animal1,
n_animal2,ngikyi,/ŋikji/,noun,animal2,
n_animal3,gko,/qo/,noun,animal3,
n_animal4,nui,/nwi/,noun,animal4,
n_animal5,ge,/ɡe/,noun,animal5,
n_animal6,de,/de/,noun,animal6,
n_animal7,khyitwu,/xjitwu/,noun,animal7,
n_ankle,royunwu,/ɾojunwu/,noun,ankle,
n_apartment,sumie,/sumje/,noun,apartment,
n_apologetic,yenus,/jenus/,noun,apologetic,
n_apology,tswuti,/t͡swuti/,noun,apology,
n_appearance,win,/win/,noun,appearance,
n_apple,tagup,/taɡup/,noun,apple,
n_april,moltua,/moltwa/,noun,april,
n_arm,mo,/mo/,noun,arm,
n_around,ngil,/ŋil/,noun,around,
n_art,tulisi,/tulisi/,noun,art,
n_artist,tulisitui,/tulisitwi/,noun,artist,
n_august,ngattua,/ŋattwa/,noun,august,
n_bag,bak,/bak/,noun,bag,
n_banana,tidi,/tidi/,noun,banana,
n_bank,huptaktsa,/huptakt͡sa/,noun,bank,
n_bar,dopuingge,/dopwiŋe/,noun,bar,
n_beach,gu,/ɡu/,noun,beach,
n_bed,tsimde,/t͡simde/,noun,bed,
n_beef,lepgkusdu,/lepqusdu/,noun,beef,
n_behind,yap,/jap/,noun,behind,
n_belief,mip,/mip/,noun,belief,
n_below,tis,/tis/,noun,below,
n_belt,littiek,/lithjek/,noun,belt,
n_beside,hik,/hik/,noun,beside,
n_bicycle,petuegi,/petweɡi/,noun,bicycle,
n_bird,hui,/hwi/,noun,bird,
n_bird_meat,huidu,/hwidu/,noun,bird meat,
n_boat,hu,/hu/,noun,boat,
n_body,khe,/xe/,noun,body,
n_book,syi,/sji/,noun,book,
n_bored,base,/base/,noun,bored,
n_box,wedop,/wedop/,noun,box,
n_bread,tsi,/t͡si/,noun,bread,
n_bridge,puisgibui,/pwisɡibwi/,noun,bridge,
n_building,sunneng,/sunneŋ/,noun,building,
n_bus,degal,/deɡal/,noun,bus,
n_butter,boto,/boto/,noun,butter,
n_cafe,kape,/kape/,noun,cafe,
n_calm,wiyi,/wiji/,noun,calm,
n_camera,khuahu,/xwahu/,noun,camera,
n_camp,yasgu,/jasɡu/,noun,camp,
n_canada,kanada,/kanada/,noun,canada,
n_car,tumkyil,/tumkjil/,noun,car,
n_carb0,nena,/nena/,noun,carb0,
n_carb1,khiu,/xju/,noun,carb1,
n_carb2,ken,/ken/,noun,carb2,
n_carb3,gap,/ɡap/,noun,carb3,
n_carb4,khungne,/xuŋne/,noun,carb4,
n_carb5,hi,/hi/,noun,carb5,
n_carb6,buhe,/buhe/,noun,carb6,
n_carb7,yakpo,/jakpo/,noun,carb7,
n_career,khakhemwu,/xaxemwu/,noun,career,
n_cat,mie,/mje/,noun,cat,
n_ceiling,nekhop,/nexop/,noun,ceiling,
n_cellphone,kottwu,/kothwu/,noun,cellphone,
n_centimetre,ro,/ɾo/,noun,centimetre,
n_centre,kiosngon,/kjosŋon/,noun,centre,
n_century,yunggit,/juŋit/,noun,century,
n_chair,rahiu,/ɾahju/,noun,chair,
n_chicken,khu,/xu/,noun,chicken,
n_chicken_meat,khudu,/xudu/,noun,chicken meat,
n_china,tsongguk,/t͡soŋɡuk/,noun,china,
n_circle,ro,/ɾo/,noun,circle,
n_city,khua,/xwa/,noun,city,
n_clay,pwumki,/pwumki/,noun,clay,
n_clock,tuimyima,/twimjima/,noun,clock,
n_clothing,si,/si/,noun,clothing,
n_cloud,piseng,/piseŋ/,noun,cloud,
n_coat,katuanuil,/katwanwil/,noun,coat,
n_coffee,kohi,/kohi/,noun,coffee,
n_cold,tuwong,/tuwoŋ/,noun,cold,
n_college,nedotsuan,/nedot͡swan/,noun,college,
n_comfort,gonpyi,/ɡonpji/,noun,comfort,
n_common,rukhe,/ɾuxe/,noun,common,
n_community,ka,/ka/,noun,community,
n_computer,hanluto,/hanluto/,noun,computer,
n_computer_program,nubiakhyin,/nubjaxjin/,noun,computer program,
n_condo,ngekhi,/ŋexi/,noun,condo,
n_copper,puekhogue,/pwexoɡwe/,noun,copper,
n_corner,gie,/ɡje/,noun,corner,
n_corridor,kuawi,/kwawi/,noun,corridor,
n_cost,langui,/laŋ.wi/,noun,cost,
n_court,ngoso,/ŋoso/,noun,court,
n_cow,lepgkus,/lepqus/,noun,cow,
n_danger,bappiu,/baphju/,noun,danger,
n_dark,letie,/letje/,noun,dark,
n_date,nuenu,/nwenu/,noun,date,
n_day,siu,/sju/,noun,day,
n_daytime,towa,/towa/,noun,daytime,
n_decade,witngit,/witŋit/,noun,decade,
n_december,rawittua,/ɾawittwa/,noun,december,
n_delicacy0,mepuska,/mepuska/,noun,delicacy0,
n_delicacy1,mieremui,/mjeɾemwi/,noun,delicacy1,
n_delicacy2,sedyisias,/sedjisjas/,noun,delicacy2,
n_delicacy3,minggilung,/miŋiluŋ/,noun,delicacy3,
n_desire,buogiu,/bwoɡju/,noun,desire,
