english,conlang
i like the library,pode tuotuka tsinwusawu
horses have long necks,selngom satyunwude puowu
the thing i'm doing is reading a book,pode sawu gawung kongom syika wowung koyawu
i should read a book,pongom syika wone pi ga
i have to read a book,pongom syika wone ru ga
i need to read a book,pongom syika wone ri ga
i want to read a book,pongom syika wone ti ga
a bird is above the tree,pium dulbi huide gawu
the bag is under the chair,rahiu tisbi bakde gawu
there is a book on the table,koniang dultsonbi syide gawu
there is a sticker on the underside of the desk,ngopa tistsonbi muebyitsengde gawu
a person is in front of the shop,kopi galbi tuide gawu
there is a car behind the bus,degal yapbi tumkyilde gawu
the bank is next to the library,tuotu hikbi huptaktsade gawu
the school is to the right of the park,khuoba nihikpukbi nyihenuode gawu
the pencil is to the right of the mango,no nihikpukbi hangswulde gawu
some pens are inside the box,wedop lusbi niuhianiuhiade gawu
there are some birds outside my house,kali bukbi huihuide gawu
there is a chair between the table and the wall,koniangyo kiga tsonbi rahiude gawu
the belt is around my waist,potu wapkuo ngilbi littiekde gawu
surrounding the fish is some rice,wu bikbi pande gawu
the shop is nearby my house,potu kali melbi kopide gawu
i can read three books in one day,megkusiu tiobi hapgkusyisyika woneng ye gawu
the weather is nice today so i might go to the park later,tiakbalngom dyitualde gonpyi tsuawudo khuobabi yuneng kie gawu
should i use pen or pencil?,hangswulnu niuhiaka tseneng pi gawula
i went to the shop because i needed to buy food,engtsikka munneng ri ganado kopibi yuna
i said i would buy food so i have to go to the shop,engtsikka munneng tsek sanado kopibi yuneng ru ga
i'm going to go to a cafe because i want to eat something,gukpika hiuneng ti gawudo kapebi yuse
i want to get a coffee so i'm going to go to a cafe,kohika munneng ti gawudo kapebi yuse
i think it rained,gede tsanang ko pyilwu
i think it's raining,gede tsawung ko pyilwu
i think it's going to rain,gede tsaneng ko pyilwu
it seems i should use a pen,niuhiaka tseneng pi ganeng ko pyilwu
you can read this book if you want,ti gama tse syika woyo khewu
is it okay if i ask you a question?,tasige yektsam sayo kheke
i can read books,pongom syika wone ye ga
i may read books,pongom syika wone gko ga
i have a headache,pongom satde tsuotsan gat
i read this book too,tse syingom pongo wona
i don't eat meat but i eat fish,dungom hahiuwudi wudungom hiuwu
the chair i'm sitting on is comfortable,pode guwu gawung rahiude gonpyide tiungwu
the chairs at my school are uncomfortable,potu nyihenuobi gawung rahiude gonpyide piewu
my bed is so comfortable,potu tsimdede gonpyide tsuawu
i might read a book,pongom syika wone kie ga
i'm worried they might be sad,sode giakhyi ngopuoneng nagui gawu
i'm worried it might rain,gede tsaneng nagui gawu
i get coffee when i go to a cafe,kapebi yuneng gke kohika tukhiwu
i had a headache when i got up yesterday,duekkalsiu metsisnang gke satde tsuotsan ganat
the weather got colder recently,nginguingom dyitualde ra towukhena
the weather is getting colder these days,kulyingom dyitualde ra towukhewu gawut
"from what i've heard, the weather started to get colder recently",dyitualde ngingui ra towukhenang tsitsak sanan
i think there is a car behind the bus,degal yapbi tumkyilde gawung ko pyilwu
i heard that the bank is next to the library,tuotu hikbi huptaktsade gawun
"there are some pens inside the box, as far as i'm aware",wedop lusbi niuhianiuhiade gawun
i know for a fact that there are some birds outside my house,kali bukbi huihuide gawut
i'm always sleepy at the top of the day,pongom siutsitsak gkebi dongmu ngomo ngopuogawu
my friend made me read that book,po nopengom pode nge syika woneng koka siana
i can see that that light appears to be getting brighter,nge syipade tsingwukhewu ganeng win gawut
i'm so embarrased... is my face getting redder,tsesgo ngopuo tsuawu... po ngibede guewukhewu gawuket
"as far as you're aware, is the weather today going to get nicer?",tiakbal dyitualde gonpyi gawukheneken
do you know someone who can play piano?,pianoka saneng ye gawung buka ngolwuke
you know someone who can play piano?,pianoka saneng ye gawung buka ngolwu?
can't you play piano?,tade pianoka saneng ye gawung ko haya?
this book is red,tse syide guewu
i know for a fact that this book is red,tse syide guewut
"as far as i'm aware, this book is red",tse syide guewun
is this cafe inexpensive?,nge kapengom languide witwuke
do you know for certain that this cafe is inexpensive?,nge kapengom languide witwuket
"to the best of your knowledge, is this cafe inexpensive?",nge kapengom languide witwuken
bring me some fruit,posige swuriswurika yaknola
be sure to bring me some fruit,posige swuriswurika yaknolat
"bring me some fruit, if you get the chance",posige swuriswurika yaknolan
these flowers are pretty,tse khiasde nopkuiwu
"wow, these flowers are pretty!",tse khiasde nopkuiwam
"these flowers are pretty, don't you think so?",tse khiasde nopkuili
these flowers are pretty...,tse khiasde nopkuiyo
i am a student,pode khulituiya
i am not a student,pode khulitui haya
"you are a student, aren't you?",tade khulituiya hen?
"you can play piano, can't you?",tade pianoka saneng ye gawu hen?
i wrote yesterday's test using a pencil,duekkalsiu diemekngom hangswulro piunat
i buttered the toast with a knife,tostobi kalro botoka muenuanat
jones buttered the toast at midnight in the bathroom with a knife,tostongom yonside kiosngonsosebi kiaritsanbi kalro botoka muenuanat
they said they know how to ride a motorcycle,songom motobayikka miesaneng ye gawung tsek sanat
they said they know how to ride a bicycle,songom petuegika miesaneng ye gawulong sanat
they asked if i know know how to ride a motorcycle,songom pode motobayikka miesaneng ye gawung mo sanat
they asked if i know know how to ride a bicycle,songom pode petuegika miesaneng ye gawukeng sanat
they told me to ride a motorcycle,songom pode motobayikka miesawung tsang sanat
they told me to ride a bicycle,songom pode petuegika miesawulang sanat
they told me it's a tree,songom tsekode piumyang tsek sanat
they told me it's a wolf,songom tsekode lomeyalong sanat
"as for me, i like the library",pongom tuotude tsinwu
