key,lemma,underlying,pos,gloss,notes
a_alittle,wa,/wa/,adjective,a little,
a_alive,wi,/wi/,adjective,alive,
a_alot,bie,/bje/,adjective,alot,
a_bad,ngap,/ŋap/,adjective,bad,
a_beautiful,ngoro,/ŋo.ɾo/,adjective,beautiful,
a_big,mwu,/mwu/,adjective,big,
a_black,gkom,/qom/,adjective,black,
a_blue,nu,/nu/,adjective,blue,
a_boring,nikha,/ni.xa/,adjective,boring,
a_bright,tsing,/t͡siŋ/,adjective,bright,
a_cold,to,/to/,adjective,cold,
a_cool,khui,/xwi/,adjective,cool,
a_dark,gnung,/gnuŋ/,adjective,dark,
a_dead,khwu,/xwu/,adjective,dead,
a_delicious,nguhol,/ŋu.hol/,adjective,delicious,
a_dim,gkok,/qok/,adjective,dim,
a_fast,tsung,/t͡suŋ/,adjective,fast,
a_few,muik,/mwik/,adjective,few,
a_good,tsin,/t͡sin/,adjective,good,
a_green,gung,/guŋ/,adjective,green,
a_grey,kunet,/ku.net/,adjective,grey,
a_heavy,mong,/moŋ/,adjective,heavy,
a_high,gking,/qiŋ/,,high,
a_hot,gko,/qo/,adjective,hot,
a_interesting,kumiu,/ku.mju/,adjective,interesting,
a_light,pyil,/pjil/,adjective,light,
a_like,pyil,/pjil/,adjective,like,
a_long,puo,/pwo/,adjective,long,
a_low,wit,/wit/,,,
a_many,tsua,/t͡swa/,adjective,many,
a_narrow,nwu,/nwu/,adjective,narrow,
a_new,mio,/mjo/,adjective,new,
a_notlong,gki,/qi/,adjective,notlong,
a_nottall,ru,/ɾu/,adjective,nottall,
a_old,khuepue,/xwe.pwe/,adjective,old,
a_old_age,dinyo,/din.jo/,adjective,old age,
a_orange,he,/he/,adjective,orange,
a_pink,tsingi,/t͡si.ŋi/,adjective,pink,
a_pretty,nopkui,/nop.kwi/,adjective,pretty,
a_purple,dia,/dja/,adjective,purple,
a_red,gue,/ɡwe/,adjective,red,
a_slow,gke,/qe/,adjective,slow,
a_small,nguik,/ŋwik/,adjective,small,
a_strong,gkang,/qaŋ/,adjective,strong,
a_tall,kui,/kwi/,adjective,tall,
a_tasteless,runge,/ɾu.ŋe/,adjective,tasteless,
a_thick,bi,/bi/,adjective,thick,
a_thin,hua,/hwa/,adjective,thin,
a_ugly,banges,/ba.ŋes/,adjective,ugly,
a_warm,tsuo,/t͡swo/,adjective,warm,
a_weak,sie,/sje/,adjective,weak,
a_white,hia,/hja/,adjective,white,
a_wide,ngong,/ŋoŋ/,adjective,wide,
a_yellow,buo,/bwo/,adjective,yellow,
a_young,himia,/hi.mja/,adjective,young,
adv_final,minya,/min.ja/,adverb,final,
adv_first,wolu,/wo.lu/,adverb,first,
adv_following,songi,/so.ŋi/,adverb,following,
adv_last,duekkal,/dwek.hal/,adverb,last,
adv_later,yentui,/jen.twi/,adverb,later,
adv_more,ra,/ɾa/,,,
adv_next,hokhi,/ho.xi/,adverb,next,
adv_previous,mopui,/mo.pwi/,adverb,previous,
adv_right,tsok,/t͡sok/,adverb,right (immediately),
d_any,kut,/kut/,quantifier,any,
d_dst,tsu,/t͡su/,demonstrative,that (distal),
d_each,nos,/nos/,quantifier,each,
d_every,dong,/doŋ/,quantifier,every,
d_med,nge,/ŋe/,demonstrative,that (medial),
d_no,tsek,/t͡sek/,quantifier,none,
d_prx,tse,/t͡se/,demonstrative,this (proximal),
d_some,guk,/guk/,quantifier,some,
e_dir,t,/t/,evidential,direct evidential,
e_epi,li,/li/,evidential,epistemic evidential,
e_ind,n,/n/,evidential,indirect evidential,
e_mir,wam,/wam/,evidential,mirative,
e_rel,ng,/ŋ/,evidential,relativizer,
f_com,se,/se/,force marker,commissive,
f_imp,la,/la/,force marker,imperative,
f_int,ke,/ke/,force marker,interrogative,
g_ability,ye,/je/,noun,can (ability),
g_command,tsang,/t͡saŋ/,,command,
g_desire,ti,/ti/,noun,want (desire),
g_direction,puk,/puk/,noun,direction,
g_language,nik,/nik/,,,
g_necessity,ri,/ɾi/,noun,must (necessity),
g_obligation,ru,/ɾu/,noun,should (obligation),
g_permission,gko,/qo/,noun,may (permission),
g_potential,kie,/kje/,noun,might (potential),
g_question,mo,/mo/,noun,question (particle),
g_recommendation,pi,/pi/,noun,ought (recommendation),
g_time,gke,/qe/,,,
n_0,dang,/daŋ/,noun,0,
n_1,me,/me/,noun,1,
n_10,wit,/wit/,noun,10,
n_10-gon,wittsin,/wit.t͡sin/,noun,10-gon,
n_100,yuk,/juk/,noun,100,
n_1000,tsip,/t͡sip/,noun,1000,
n_11-gon,mewittsin,/me.wit.t͡sin/,noun,11-gon,
n_12-gon,rawittsin,/ɾa.wit.t͡sin/,noun,12-gon,
n_1pl,lu,/lu/,noun,1PL,
n_1sg,po,/po/,noun,1SG,
n_2,ra,/ɾa/,noun,2,
n_2pl,tso,/t͡so/,noun,2PL,
n_2sg,ta,/ta/,noun,2SG,
n_3,hap,/hap/,noun,3,
n_3pl,pa,/pa/,noun,3PL,
n_3sg,so,/so/,noun,3SG,
n_4,mol,/mol/,noun,4,
n_5,tsim,/t͡sim/,noun,5,
n_6,sum,/sum/,noun,6,
n_7,nul,/nul/,noun,7,
n_8,ngat,/ŋat/,noun,8,
n_9,bes,/bes/,noun,nine,
n_9-gon,bestsin,/bes.t͡sin/,noun,nonagon,
n_ability,kieskom,/kjes.kom/,noun,ability,
n_above,dul,/dul/,noun,above,
n_accomplishment,gugias,/gu.gjas/,noun,accomplishment,
n_achievement,suotua,/swo.twa/,noun,achievement,
n_acting,rotibiek,/ɾo.ti.bjek/,noun,acting,
n_action,bit,/bit/,noun,action,
n_activity,dakias,/da.kjas/,noun,activity,
n_actor,rotibiektui,/ɾo.ti.bjek.twi/,noun,actor,
n_afternoon,kiesui,/kje.swi/,noun,afternoon,
n_air,tseng,/t͡seŋ/,noun,air,
n_airplane,dekwu,/de.kwu/,noun,airplane,/kw/V becomes <gw>
n_angry,tuidying,/twi.djiŋ/,noun,angry,
n_animal,tsimuo,/t͡si.mwo/,noun,animal,
n_animal0,tsanak,/t͡sa.nak/,noun,animal0,
n_animal1,khesa,/xe.sa/,noun,animal1,
n_animal2,ngikyi,/ŋik.ji/,noun,animal2,
n_animal3,gkoroko,/qo.ɾo.ko/,noun,animal3,
n_animal4,nui,/nwi/,noun,animal4,
n_animal5,tsunguru,/t͡su.ŋu.ɾu/,noun,animal5,
n_animal6,tsangara,/t͡sa.ŋa.ɾa/,noun,animal6,
n_animal7,khyitwu,/xji.twu/,noun,animal7,
n_ankle,royunwu,/ɾo.ju.nwu/,noun,ankle,
n_apartment,sumye,/sum.je/,noun,apartment,
n_apologetic,yenus,/je.nus/,noun,apologetic,
n_apology,tswuti,/t͡swu.ti/,noun,apology,
n_appearance,win,/win/,noun,appearance,
n_apple,tagup,/ta.gup/,noun,apple,
n_april,moltua,/mol.twa/,noun,april,
n_arm,mo,/mo/,noun,arm,
n_around,ngil,/ŋil/,noun,around,
n_art,tulisi,/tu.li.si/,noun,art,
n_artist,tulisitui,/tu.li.si.twi/,noun,artist,
n_august,ngattua,/ŋat.twa/,noun,august,
n_bag,bak,/bak/,noun,bag,
n_banana,tidi,/ti.di/,noun,banana,
n_bank,huptaktsa,/hup.tak.t͡sa/,noun,bank,
n_bar,dopuinge,/do.pwi.ŋe/,noun,bar,
n_beach,gu,/gu/,noun,beach,
n_bed,tsimde,/t͡sim.de/,noun,bed,
n_beef,lepgkusdu,/lep.qus.du/,noun,beef,
n_behind,yap,/jap/,noun,behind,
n_belief,mip,/mip/,noun,belief,
n_below,tis,/tis/,noun,below,
n_belt,littiek,/lit.hjek/,noun,belt,
n_beside,hik,/hik/,noun,beside,
n_bicycle,petuegi,/pe.twe.gi/,noun,bicycle,
n_bird,hui,/hwi/,noun,bird,
n_bird_meat,huidu,/hwi.du/,noun,bird meat,
n_boat,hu,/hu/,noun,boat,
n_body,kue,/kwe/,noun,body,
n_book,syi,/sji/,noun,book,
n_bored,base,/ba.se/,noun,bored,
n_bowl,ulum,/ulum/,noun,bowl,
n_box,wedop,/we.dop/,noun,box,
n_bread,pang,/paŋ/,noun,bread,
n_bridge,gkibui,/qi.bwi/,noun,bridge,
n_bug,eksu,/eksu/,noun,bug,
n_building,sunneng,/sun.neŋ/,noun,building,
n_bus,degal,/de.gal/,noun,bus,
n_butter,boto,/bo.to/,noun,butter,
n_cafe,kape,/ka.pe/,noun,cafe,
n_calm,wiyi,/wi.ji/,noun,calm,
n_camera,khuahu,/xwa.hu/,noun,camera,
n_camp,yasgu,/jas.gu/,noun,camp,
n_canada,kanada,/ka.na.da/,noun,canada,
n_car,tumkyil,/tum.kjil/,noun,car,
n_carb0,nena,/ne.na/,noun,carb0,
n_carb1,khiu,/xju/,noun,carb1,
n_carb2,ken,/ken/,noun,carb2,
n_carb3,gkap,/qap/,noun,carb3,
n_carb4,khungne,/xuŋ.ne/,noun,carb4,
n_carb5,hibi,/hi.bi/,noun,carb5,
n_carb6,buhe,/bu.he/,noun,carb6,
n_carb7,yakpo,/jak.po/,noun,carb7,
n_career,khakhemwu,/xa.xem.wu/,noun,career,
n_cat,mie,/mje/,noun,cat,
n_ceiling,nekhop,/ne.xop/,noun,ceiling,
n_cellphone,kottwu,/kot.hwu/,noun,cellphone,
n_centimetre,ro,/ɾo/,noun,centimetre,
n_centre,kiosngon,/kjos.ŋon/,noun,centre,
n_century,yungit,/ju.ŋit/,noun,century,
n_chair,rahiu,/ɾa.hju/,noun,chair,
n_chicken,khu,/xu/,noun,chicken,
n_chicken_meat,khudu,/xu.du/,noun,chicken meat,
n_china,tsongguk,/t͡soŋ.guk/,noun,china,
n_circle,wol,/wol/,noun,circle,
n_city,khua,/xwa/,noun,city,
n_clay,pwumki,/pwum.ki/,noun,clay,
n_clock,tuimyima,/twim.ji.ma/,noun,clock,
n_clothing,sit,/sit/,noun,clothing,
n_cloud,piseng,/pi.seŋ/,noun,cloud,
n_coat,katuanwil,/ka.twan.wil/,noun,coat,
n_coffee,kohi,/ko.hi/,noun,coffee,
n_cold,tuwong,/tu.woŋ/,noun,cold,
n_college,nedotsuan,/ne.do.t͡swan/,noun,college,
n_comfort,gonpyi,/gon.pji/,noun,comfort,
n_common,rukhe,/ɾu.xe/,noun,common,
n_community,kang,/kaŋ/,noun,community,
n_computer,hanluto,/han.lu.to/,noun,computer,
n_computer_program,nubiakhyin,/nu.bja.xjin/,noun,computer program,
n_condo,ngekhi,/ŋe.xi/,noun,condo,
n_copper,puekhogke,/pwe.xo.qe/,noun,copper,
n_corner,gie,/gje/,noun,corner,
n_corridor,kuawi,/kwa.wi/,noun,corridor,
n_cost,langui,/la.ŋwi/,noun,cost,
n_court,ngoso,/ŋo.so/,noun,court,
n_cow,lepgkus,/lep.qus/,noun,cow,
n_danger,bappiu,/bap.hju/,noun,danger,
