a_alittle,wa
a_alive,wi
a_alot,bie
a_bad,ngap
a_beautiful,ngoro
a_big,mwu
a_black,gkom
a_blue,nu
a_boring,nikha
a_bright,tsing
a_cold,to
a_cool,khui
a_dark,gnung
a_dead,khwu
a_delicious,nguhol
a_dim,gkok
a_fast,tsung
a_few,muik
a_good,tsin
a_green,gung
a_grey,kunet
a_heavy,mong
a_high,gking
a_hot,gko
a_interesting,kumiu
a_light,pyil
a_like,pyil
a_long,puo
a_low,wit
a_many,tsua
a_narrow,nwu
a_new,mio
a_notlong,gki
a_nottall,ru
a_old,khuepue
a_old_age,dinyo
a_orange,he
a_pink,tsingi
a_pretty,nopkui
a_purple,dia
a_red,gue
a_slow,gke
a_small,nguik
a_strong,gkang
a_tall,kui
a_tasteless,runge
a_thick,bi
a_thin,hua
a_ugly,banges
a_warm,tsuo
a_weak,sie
a_white,hia
a_wide,ngong
a_yellow,buo
a_young,himia
adv_final,minya
adv_first,wolu
adv_following,songi
adv_last,duekkal
adv_later,yentui
adv_more,ra
adv_next,hokhi
adv_previous,mopui
adv_right,tsok
d_any,kut
d_dst,tsu
d_each,nos
d_every,dong
d_med,nge
d_no,tsek
d_prx,tse
d_some,guk
e_dir,t
e_epi,li
e_ind,n
e_mir,wam
e_rel,ng
f_com,se
f_imp,la
f_int,ke
g_ability,ye
g_command,tsang
g_desire,ti
g_direction,puk
g_language,nik
g_necessity,ri
g_obligation,ru
g_permission,gko
g_potential,kie
g_question,mo
g_recommendation,pi
g_time,gke
n_0,dang
n_1,me
n_10,wit
n_10-gon,wittsin
n_100,yuk
n_1000,tsip
n_11-gon,mewittsin
n_12-gon,rawittsin
n_1pl,lu
n_1sg,po
n_2,ra
n_2pl,tso
n_2sg,ta
n_3,hap
n_3pl,pa
n_3sg,so
n_4,mol
n_5,tsim
n_6,sum
n_7,nul
n_8,ngat
n_9,bes
n_9-gon,bestsin
n_ability,kieskom
n_above,dul
n_accomplishment,gugias
n_achievement,suotua
n_acting,rotibiek
n_action,bit
n_activity,dakias
n_actor,rotibiektui
n_afternoon,kiesui
n_air,tseng
n_airplane,dekwu
n_angry,tuidying
n_animal,tsimuo
n_animal0,tsanak
n_animal1,khesa
n_animal2,ngikyi
n_animal3,gkoroko
n_animal4,nui
n_animal5,tsunguru
n_animal6,tsangara
n_animal7,khyitwu
n_ankle,royunwu
n_apartment,sumye
n_apologetic,yenus
n_apology,tswuti
n_appearance,win
n_apple,tagup
n_april,moltua
n_arm,mo
n_around,ngil
n_art,tulisi
n_artist,tulisitui
n_august,ngattua
n_bag,bak
n_banana,tidi
n_bank,huptaktsa
n_bar,dopuinge
n_beach,gu
n_bed,tsimde
n_beef,lepgkusdu
n_behind,yap
n_belief,mip
n_below,tis
n_belt,littiek
n_beside,hik
n_bicycle,petuegi
n_bird,hui
n_bird_meat,huidu
n_boat,hu
n_body,kue
n_book,syi
n_bored,base
n_bowl,ulum
n_box,wedop
n_bread,pang
n_bridge,gkibui
n_bug,eksu
n_building,sunneng
n_bus,degal
n_butter,boto
n_cafe,kape
n_calm,wiyi
n_camera,khuahu
n_camp,yasgu
n_canada,kanada
n_car,tumkyil
n_carb0,nena
n_carb1,khiu
n_carb2,ken
n_carb3,gkap
n_carb4,khungne
n_carb5,hibi
n_carb6,buhe
n_carb7,yakpo
